llm,source,target,accuracy,f1_macro
OPT-125M,uci,uci,0.8603174603174604,0.7975919830297711
OPT-125M,uci,shoaib,0.6547907298512625,0.6039737845131969
OPT-125M,uci,motionsense,0.7363196426355627,0.6168470184817378
OPT-125M,uci,hhar,0.7174974661383949,0.6509180763978901
OPT-125M,shoaib,shoaib,0.7993079584775087,0.7598593996302976
OPT-125M,shoaib,uci,0.722574508560558,0.6259949519714918
OPT-125M,shoaib,motionsense,0.8157339620300286,0.7074817136458567
OPT-125M,shoaib,hhar,0.6333732608495347,0.5446816154847008
OPT-125M,motionsense,motionsense,0.9236499068901304,0.858217606801824
OPT-125M,motionsense,uci,0.8417882054533925,0.7776276484216235
OPT-125M,motionsense,shoaib,0.8623313732272571,0.831292272985986
OPT-125M,motionsense,hhar,0.7235787339906017,0.646018798883612
OPT-125M,hhar,hhar,0.8845888044229441,0.84915265564384
OPT-125M,hhar,uci,0.8620798985415346,0.796398759831922
OPT-125M,hhar,shoaib,0.7205119335869942,0.6485799188697207
OPT-125M,hhar,motionsense,0.8071721057203127,0.7192493532854619
Pythia-160M,uci,uci,0.9174603174603174,0.8838639033452474
Pythia-160M,uci,shoaib,0.7765479072985126,0.7373727054316759
Pythia-160M,uci,motionsense,0.8266534309467676,0.7118733650497345
Pythia-160M,uci,hhar,0.7694646641481618,0.7129492898596971
Pythia-160M,shoaib,shoaib,0.9134948096885813,0.8965408714619354
Pythia-160M,shoaib,uci,0.7511097019657578,0.6415786096574077
Pythia-160M,shoaib,motionsense,0.8439012284402532,0.7665505753265746
Pythia-160M,shoaib,hhar,0.63705887772966,0.541870869076417
Pythia-160M,motionsense,motionsense,0.9404096834264432,0.8901523345889958
Pythia-160M,motionsense,uci,0.8512999365884591,0.7901328412533486
Pythia-160M,motionsense,shoaib,0.9128329297820823,0.8933160164928332
Pythia-160M,motionsense,hhar,0.7397493780521515,0.6658735243170458
Pythia-160M,hhar,hhar,0.9050909928587882,0.875835462596583
Pythia-160M,hhar,uci,0.8709575142675967,0.8088381690715085
Pythia-160M,hhar,shoaib,0.6475268073331027,0.5430496431931046
Pythia-160M,hhar,motionsense,0.7190718451420772,0.6023765943499411
Qwen-0.5B,uci,uci,0.9015873015873016,0.8565772480884148
Qwen-0.5B,uci,shoaib,0.7187824282255275,0.6538445021543904
