level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L1-Fixes,GPT-2,uci,uci,0.8984126984126984,0.8627534903206673,79120,False,False,False
L1-Fixes,GPT-2,uci,shoaib,0.7651331719128329,0.7354567013318957,79120,False,False,False
L1-Fixes,GPT-2,uci,motionsense,0.8032013897505894,0.6886116353307709,79120,False,False,False
L1-Fixes,GPT-2,uci,hhar,0.7810743573205565,0.7242776825068034,79120,False,False,False
L1-Fixes,GPT-2,shoaib,uci,0.7853519340519974,0.6996117142811364,79120,False,False,False
L1-Fixes,GPT-2,shoaib,shoaib,0.8460207612456747,0.817770205979652,79120,False,False,False
L1-Fixes,GPT-2,shoaib,motionsense,0.8571783099640153,0.7811700442132878,79120,False,False,False
L1-Fixes,GPT-2,shoaib,hhar,0.6799963143831199,0.5940053002361925,79120,False,False,False
L1-Fixes,GPT-2,motionsense,uci,0.813570069752695,0.7409317325794784,79120,False,False,False
L1-Fixes,GPT-2,motionsense,shoaib,0.860255966793497,0.8333465271810582,79120,False,False,False
L1-Fixes,GPT-2,motionsense,motionsense,0.9087523277467412,0.8288716721403935,79120,False,False,False
L1-Fixes,GPT-2,motionsense,hhar,0.7049202985349673,0.6194282632591688,79120,False,False,False
L1-Fixes,GPT-2,hhar,uci,0.8782498414711477,0.8214777065163438,79120,False,False,False
L1-Fixes,GPT-2,hhar,shoaib,0.6087858872362504,0.4804638823811734,79120,False,False,False
L1-Fixes,GPT-2,hhar,motionsense,0.737808661124209,0.6084338964784766,79120,False,False,False
L1-Fixes,GPT-2,hhar,hhar,0.9092375028795208,0.881728160503418,79120,False,False,False
L1-Fixes,Qwen-0.5B,uci,uci,0.9095238095238096,0.8615848753663602,91408,False,False,False
L1-Fixes,Qwen-0.5B,uci,shoaib,0.7315807679003805,0.6554370134094952,91408,False,False,False
L1-Fixes,Qwen-0.5B,uci,motionsense,0.8112669065640898,0.6468698705366029,91408,False,False,False
L1-Fixes,Qwen-0.5B,uci,hhar,0.7670229429650788,0.7068206648818418,91408,False,False,False
L1-Fixes,Qwen-0.5B,shoaib,uci,0.7821813570069752,0.6952393565766218,91408,False,False,False
L1-Fixes,Qwen-0.5B,shoaib,shoaib,0.9221453287197232,0.9087995163560896,91408,False,False,False
